"filename", "language", "Dart", "comment", "blank", "total"
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/main.dart", "Dart", 41, 0, 7, 48
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/models/task.dart", "Dart", 23, 0, 8, 31
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/models/task.g.dart", "Dart", 42, 4, 8, 54
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/models/task_type.dart", "Dart", 17, 0, 6, 23
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/models/task_type.g.dart", "Dart", 36, 4, 8, 48
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/models/type_enum.dart", "Dart", 17, 0, 3, 20
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/models/type_enum.g.dart", "Dart", 55, 4, 8, 67
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/screens/add_task_screen.dart", "Dart", 271, 1, 23, 295
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/screens/edit_task_screen.dart", "Dart", 233, 0, 20, 253
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/screens/home_screen.dart", "Dart", 75, 0, 8, 83
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/utility/utility.dart", "Dart", 36, 0, 2, 38
"/Users/saleh/Desktop/Learning Flutter/Projects/Notes Project/notes_proj/lib/widgets/task_widget.dart", "Dart", 177, 3, 11, 191
"Total", "-", 1023, 16, 112, 1151
